STATION_BOOK_ID	MAX(YEAR)
08700-00663-0-3-0-0	2018
08700-00718-0-1-0-0	2018
08700-00741-0-7-0-0	2018
08700-00766-0-7-0-0	2018
08700-00792-0-7-0-0	2018
08700-01720-0-5-0-0	2018
08700-01772-0-2-0-0	2018
08700-01778-0-5-0-0	2018
08700-02005-0-4-0-0	2018
08700-02081-0-1-0-0	2018
08700-02083-0-7-0-0	2018
08700-02148-0-5-0-0	2018
08700-02157-0-7-0-0	2018
08700-02236-0-4-2-0	2018
08700-02347-0-1-0-0	2018
08700-02371-0-3-0-0	2018
08700-02396-0-8-0-0	2018
08700-02428-0-3-0-0	2018
08700-02482-0-7-0-0	2018
11260-00005-0-3-0-0	2018
11260-00020-0-5-0-0	2018
11260-00031-0-7-0-0	2018
11260-00077-0-5-0-0	2018
11260-00079-0-1-0-0	2018
12250-00198-0-1-0-0	2018
12250-00198-0-5-0-0	2018
12250-00204-0-6-0-0	2018
16750-00298-0-3-0-0	2018
20890-00005-0-1-0-0	2018
22510-00002-0-2-0-0	2018
22690-00014-0-5-0-0	2018
34390-00045-0-4-0-0	2018
34390-00045-0-8-0-0	2018
36370-00040-0-1-0-0	2018
36370-00044-0-3-0-0	2018
36370-00044-0-7-0-0	2018
37360-00103-0-1-0-0	2018
37360-00103-0-7-0-0	2018
37360-00117-0-5-0-0	2018
37360-00117-0-7-0-0	2018
39700-00234-0-6-0-0	2018
39700-00249-0-7-0-0	2018
08700-00139-0-4-0-0	2018
08700-00167-0-7-0-0	2018
08700-00169-0-7-0-0	2018
08700-00175-0-1-0-0	2018
08700-00175-0-7-0-0	2018
08700-00193-0-1-0-0	2018
08700-00235-0-4-0-0	2018
08700-00275-0-2-0-0	2018
08700-00294-0-7-0-0	2018
08700-00410-0-5-0-0	2018
08700-00913-0-7-0-0	2018
08700-00980-0-7-0-0	2018
08700-00995-0-1-0-0	2018
08700-01163-0-5-0-0	2018
08700-01253-0-4-0-0	2018
08700-01292-0-7-0-0	2018
08700-01299-0-2-0-0	2018
08700-01306-0-5-0-0	2018
08700-01362-0-7-0-0	2018
08700-01363-0-3-0-0	2018
08700-01430-0-6-0-0	2018
08700-01508-0-5-0-0	2018
08700-01523-0-1-0-0	2018
08700-01528-0-5-0-0	2018
08700-01547-0-1-0-0	2018
08700-01547-0-7-0-0	2018
46540-00244-0-5-0-0	2018
48790-00005-0-7-0-0	2018
48790-00012-0-6-0-0	2018
48790-00017-0-8-0-0	2018
52120-00090-0-1-0-0	2018
52120-00103-0-7-0-0	2018
52120-00285-0-3-0-0	2018
52120-00422-0-5-0-0	2018
53920-00006-0-3-0-0	2018
54550-00023-0-7-0-0	2018
54550-00034-0-1-0-0	2018
54550-00040-0-7-0-0	2018
54550-00055-0-7-0-0	2018
54550-00134-0-7-0-0	2018
54550-00147-0-5-0-0	2018
54550-00154-0-7-0-0	2018
54550-00180-0-7-0-0	2018
54550-00186-0-3-0-0	2018
54550-00195-0-1-0-0	2018
54550-00223-0-3-0-0	2018
